snapshot_date,port_ESG_constrained,benchmark_ESG_equal,benchmark_full_equal
2019-12-31,0.7409349775350371,0.7409349775350371,0.7386854934858493
2020-03-31,0.8517371131871166,0.8517371131871166,0.8563785241728396
2020-06-30,0.84443393190973,0.84443393190973,0.8555360215945321
2020-09-30,0.9611589568559299,0.9611589568559299,0.9741466117511023
2020-12-31,1.0116135418023826,1.0116135418023826,1.0444389188124046
2021-03-31,1.05311863124471,1.05311863124471,1.0851036630789614
2021-06-30,1.030783452850106,1.030783452850106,1.0715221772687995
2021-09-30,1.0633169480719262,1.0633169480719262,1.1116771260147835
2021-12-31,0.8977266713962904,0.8977266713962904,0.9130370160942217
2022-06-30,0.8287834499578591,0.8287834499578591,0.853310134020802
2022-09-30,0.9177899505243864,0.9177899505243864,0.9482729650422707
2022-12-30,1.00888781869537,1.00888781869537,1.030629729078429
2023-03-31,1.0137169212574955,1.0137169212574955,1.02515332298699
2023-06-30,0.9786903327889974,0.9786903327889974,0.9855527468816541
2023-09-29,1.042412419913682,1.042412419913682,1.0499448627674852
2023-12-29,1.1080642047129434,1.1080642047129434,1.1100880476626118
2024-03-31,1.0726853126724232,1.0726853126724232,1.0673891050889825
2024-06-30,1.1698168987942141,1.1698168987942141,1.1428337370135806
2024-09-29,1.148580503904358,1.148580503904358,1.092086013009021
2024-12-31,1.2111553247639146,1.2111553247639146,1.1526708069724494
